S.no,District,Transaction_count,Transaction_amount,Quarter,Year,State
746,lower dibang valley district,104498,271945446.4,2,2022,arunachal-pradesh
747,lower subansiri district,94109,287993729.8,2,2022,arunachal-pradesh
748,longding district,53158,160788732.8,2,2022,arunachal-pradesh
749,west siang district,121772,375530981.6,2,2022,arunachal-pradesh
750,kamle district,15014,44602505.01,2,2022,arunachal-pradesh
751,upper siang district,48672,156044689,2,2022,arunachal-pradesh
752,tirap district,77626,237900567.7,2,2022,arunachal-pradesh
753,papum pare district,1444757,3269917297,2,2022,arunachal-pradesh
754,kurung kumey district,11548,48364588.8,2,2022,arunachal-pradesh
755,anjaw district,29854,100406271.8,2,2022,arunachal-pradesh
756,siang district,28364,83637271.89,2,2022,arunachal-pradesh
757,lower siang district,35467,92504503.65,2,2022,arunachal-pradesh
758,kra daadi district,15115,64226643.96,2,2022,arunachal-pradesh
759,changlang district,203732,513287861.1,2,2022,arunachal-pradesh
760,pakke kessang district,10309,27595370.59,2,2022,arunachal-pradesh
761,dibang valley district,3179,17089738.72,2,2022,arunachal-pradesh
762,west kameng district,327925,893486447.6,2,2022,arunachal-pradesh
763,shi yomi district,3929,28306519.5,2,2022,arunachal-pradesh
764,east siang district,261162,604825118.2,2,2022,arunachal-pradesh
765,upper subansiri district,69169,253134359.5,2,2022,arunachal-pradesh
766,east kameng district,45363,191450485.6,2,2022,arunachal-pradesh
767,lohit district,226199,502322813.6,2,2022,arunachal-pradesh
768,lepa rada district,40528,118031124.7,2,2022,arunachal-pradesh
769,tawang district,132824,494351396.8,2,2022,arunachal-pradesh
770,namsai district,152652,293920909.2,2,2022,arunachal-pradesh
771,lower dibang valley district,112848,273001216.7,3,2022,arunachal-pradesh
772,lower subansiri district,109261,285712248.1,3,2022,arunachal-pradesh
773,longding district,57360,154461013,3,2022,arunachal-pradesh
774,west siang district,136332,395192938,3,2022,arunachal-pradesh
775,kamle district,16300,40508790.18,3,2022,arunachal-pradesh
776,upper siang district,51285,160298876.3,3,2022,arunachal-pradesh
777,tirap district,79206,216482194.5,3,2022,arunachal-pradesh
778,papum pare district,1651143,3211809407,3,2022,arunachal-pradesh
779,kurung kumey district,12677,54808629.69,3,2022,arunachal-pradesh
780,anjaw district,32452,104784905.2,3,2022,arunachal-pradesh
781,siang district,34204,91702284.03,3,2022,arunachal-pradesh
782,lower siang district,38480,85746020.39,3,2022,arunachal-pradesh
783,kra daadi district,15939,59014513.91,3,2022,arunachal-pradesh
784,changlang district,216609,492535245.1,3,2022,arunachal-pradesh
785,pakke kessang district,12764,26095563.61,3,2022,arunachal-pradesh
786,dibang valley district,3266,19490605.61,3,2022,arunachal-pradesh
787,west kameng district,371632,945171308.2,3,2022,arunachal-pradesh
788,shi yomi district,4909,31175974.41,3,2022,arunachal-pradesh
789,east siang district,286766,594752976.4,3,2022,arunachal-pradesh
790,upper subansiri district,77637,256409312,3,2022,arunachal-pradesh
791,east kameng district,52570,166910810.4,3,2022,arunachal-pradesh
792,lohit district,236792,461745616.9,3,2022,arunachal-pradesh
793,lepa rada district,38997,105244758.5,3,2022,arunachal-pradesh
794,tawang district,138313,514855579.7,3,2022,arunachal-pradesh
795,namsai district,151676,277199997,3,2022,arunachal-pradesh
796,lower dibang valley district,137218,308329533.6,4,2022,arunachal-pradesh
797,lower subansiri district,143172,339443886.2,4,2022,arunachal-pradesh
798,longding district,63481,151727225.2,4,2022,arunachal-pradesh
799,west siang district,176377,449302139.5,4,2022,arunachal-pradesh
800,kamle district,22093,54695370.47,4,2022,arunachal-pradesh
801,upper siang district,61031,174436476.5,4,2022,arunachal-pradesh
802,tirap district,88024,205933250,4,2022,arunachal-pradesh
803,papum pare district,1917365,3401999229,4,2022,arunachal-pradesh
804,kurung kumey district,14780,55991360.89,4,2022,arunachal-pradesh
805,anjaw district,31170,86691809.74,4,2022,arunachal-pradesh
806,siang district,46250,124012661.8,4,2022,arunachal-pradesh
807,lower siang district,50212,111700711.1,4,2022,arunachal-pradesh
808,kra daadi district,19724,69295211.52,4,2022,arunachal-pradesh
809,changlang district,254818,572195646.8,4,2022,arunachal-pradesh
810,pakke kessang district,15377,28806042.81,4,2022,arunachal-pradesh
811,dibang valley district,3440,17938501.8,4,2022,arunachal-pradesh
812,west kameng district,421418,954522716.7,4,2022,arunachal-pradesh
813,shi yomi district,4926,33977040.52,4,2022,arunachal-pradesh
814,east siang district,327737,623525449.5,4,2022,arunachal-pradesh
815,upper subansiri district,93017,285077054,4,2022,arunachal-pradesh
816,east kameng district,68774,178064501.3,4,2022,arunachal-pradesh
817,lohit district,276551,503661703.8,4,2022,arunachal-pradesh
818,lepa rada district,51416,127294274.4,4,2022,arunachal-pradesh
819,tawang district,155419,518332824.9,4,2022,arunachal-pradesh
820,namsai district,188919,307955075.5,4,2022,arunachal-pradesh
821,tinsukia district,41237,45886201.03,1,2018,assam
822,lakhimpur district,24946,17798094.85,1,2018,assam
823,kamrup district,47859,41868129.26,1,2018,assam
824,kokrajhar district,16397,17935304.65,1,2018,assam
825,karbi anglong district,15032,14875159.19,1,2018,assam
826,sivasagar district,16898,17611863.82,1,2018,assam
827,dibrugarh district,44792,53258765.87,1,2018,assam
828,south salmara mancachar district,8415,9404471.999,1,2018,assam
829,nagaon district,66695,56352631.29,1,2018,assam
830,dhubri district,26072,24431277.76,1,2018,assam
831,golaghat district,22089,19058581.95,1,2018,assam
832,udalguri district,18168,14465756.76,1,2018,assam
833,majuli district,2598,1326721.023,1,2018,assam
834,sonitpur district,51976,73005566.25,1,2018,assam
835,hojai district,16917,15849610.99,1,2018,assam
836,marigaon district,79832,105067294.5,1,2018,assam
837,chirang district,8445,11665546.59,1,2018,assam
838,cachar district,56481,57250290.53,1,2018,assam
839,nalbari district,16878,12393870.99,1,2018,assam
840,west karbi anglong district,1445,570966.722,1,2018,assam
841,dhemaji district,16037,17004986.97,1,2018,assam
842,karimganj district,17261,17842353.52,1,2018,assam
843,bongaigaon district,18899,21510944.89,1,2018,assam
844,dima hasao district,4233,4781136.057,1,2018,assam
845,baksa district,20964,22457849.87,1,2018,assam
846,charaideo district,13094,10873516.98,1,2018,assam
847,darrang district,28031,21593879.07,1,2018,assam
848,kamrup metropolitan district,194617,284766219,1,2018,assam
849,hailakandi district,15865,11065155.72,1,2018,assam
850,barpeta district,67801,56352302.38,1,2018,assam
851,goalpara district,27132,25331840.52,1,2018,assam
852,biswanath district,16453,12983623.2,1,2018,assam
853,jorhat district,33322,41164542.06,1,2018,assam
854,tinsukia district,66715,102921465.6,2,2018,assam
855,lakhimpur district,39374,43214923.21,2,2018,assam
856,kamrup district,74537,83338163.66,2,2018,assam
857,kokrajhar district,25926,39803961.02,2,2018,assam
858,karbi anglong district,21038,32715713.62,2,2018,assam
859,sivasagar district,32513,38045383.75,2,2018,assam
860,dibrugarh district,70642,110954951.7,2,2018,assam
861,south salmara mancachar district,11905,17203000.74,2,2018,assam
862,nagaon district,105834,129818644.9,2,2018,assam
863,dhubri district,45661,47762317.27,2,2018,assam
864,golaghat district,36437,43250232.58,2,2018,assam
865,udalguri district,27215,30375056.04,2,2018,assam
866,majuli district,5058,3699473.568,2,2018,assam
867,sonitpur district,82799,151230715.3,2,2018,assam
868,hojai district,27627,37555286.2,2,2018,assam
869,marigaon district,109223,204057284.2,2,2018,assam
870,chirang district,11893,20005276.77,2,2018,assam
871,cachar district,83921,105147622.6,2,2018,assam
872,nalbari district,28274,31476842.34,2,2018,assam
873,west karbi anglong district,3059,2307157.472,2,2018,assam
874,dhemaji district,28048,40136198.65,2,2018,assam
875,karimganj district,29742,31418376.06,2,2018,assam
876,bongaigaon district,30556,41124057.19,2,2018,assam
877,dima hasao district,7909,15427592.18,2,2018,assam
878,baksa district,34924,47062551.5,2,2018,assam
879,charaideo district,22888,22097271.47,2,2018,assam
880,darrang district,39773,44360631.73,2,2018,assam
881,kamrup metropolitan district,320417,548619364.2,2,2018,assam
882,hailakandi district,20932,21484955.79,2,2018,assam
883,barpeta district,102217,117541108.7,2,2018,assam
884,goalpara district,38784,48654323.65,2,2018,assam
885,biswanath district,24691,27140715.98,2,2018,assam
886,jorhat district,53341,70634515.73,2,2018,assam
887,tinsukia district,90928,155121755.8,3,2018,assam
888,lakhimpur district,51496,62695597.63,3,2018,assam
889,kamrup district,112726,148929589.8,3,2018,assam
890,kokrajhar district,40412,73077064.97,3,2018,assam
891,karbi anglong district,34200,57257408.76,3,2018,assam
892,sivasagar district,42699,59919419.35,3,2018,assam
893,dibrugarh district,98822,173048841.6,3,2018,assam
894,south salmara mancachar district,19386,26159422.02,3,2018,assam
895,nagaon district,142195,208584968,3,2018,assam
896,dhubri district,67607,103548615.8,3,2018,assam
897,golaghat district,54792,72105527.3,3,2018,assam
898,udalguri district,37084,49951166.54,3,2018,assam
899,majuli district,10921,8055597.913,3,2018,assam
900,sonitpur district,116196,252135800.7,3,2018,assam
901,hojai district,38583,61817228.95,3,2018,assam
902,marigaon district,102867,189132040.9,3,2018,assam
903,chirang district,18743,33723485.94,3,2018,assam
904,cachar district,123735,189612378.3,3,2018,assam
905,nalbari district,41038,53972192.02,3,2018,assam
906,west karbi anglong district,4995,4925639.965,3,2018,assam
907,dhemaji district,40083,66647316.38,3,2018,assam
908,karimganj district,44660,61562538.84,3,2018,assam
909,bongaigaon district,50508,82437701.24,3,2018,assam
910,dima hasao district,12952,21820660.62,3,2018,assam
911,baksa district,50043,78080860.9,3,2018,assam
912,charaideo district,28439,37987634.6,3,2018,assam
913,darrang district,51560,66050473.04,3,2018,assam
914,kamrup metropolitan district,476050,884121118.8,3,2018,assam
915,hailakandi district,29372,41835687.85,3,2018,assam
916,barpeta district,145945,230125281.8,3,2018,assam
917,goalpara district,57019,88773137.7,3,2018,assam
918,biswanath district,36071,49910423.58,3,2018,assam
919,jorhat district,79724,118008412.3,3,2018,assam
920,tinsukia district,127171,253718923.1,4,2018,assam
921,lakhimpur district,76772,104689433.9,4,2018,assam
922,kamrup district,162592,236088241.5,4,2018,assam
923,kokrajhar district,54606,123041318.3,4,2018,assam
924,karbi anglong district,53526,99019113.05,4,2018,assam
925,sivasagar district,64113,99142069.28,4,2018,assam
926,dibrugarh district,144931,264346941.5,4,2018,assam
927,south salmara mancachar district,26334,41170236.1,4,2018,assam
928,nagaon district,435103,317973029.5,4,2018,assam
929,dhubri district,120810,181651044.9,4,2018,assam
930,golaghat district,79500,126712548.6,4,2018,assam
931,udalguri district,51801,90836151.48,4,2018,assam
932,majuli district,16498,13348264.37,4,2018,assam
933,sonitpur district,165399,358549931.6,4,2018,assam
934,hojai district,53523,85392301.38,4,2018,assam
935,marigaon district,193075,207853575.1,4,2018,assam
936,chirang district,26846,51647368.61,4,2018,assam
937,cachar district,187360,272342253.1,4,2018,assam
938,nalbari district,61931,83491586.47,4,2018,assam
939,west karbi anglong district,8729,9985888.621,4,2018,assam
940,dhemaji district,62268,109905674.6,4,2018,assam
941,karimganj district,62738,106200165.5,4,2018,assam
942,bongaigaon district,84239,130369027.7,4,2018,assam
943,dima hasao district,19051,41435937.88,4,2018,assam
944,baksa district,66602,114583565.2,4,2018,assam
945,charaideo district,41777,63979700.09,4,2018,assam
946,darrang district,67909,109435369.9,4,2018,assam
947,kamrup metropolitan district,686010,1345451492,4,2018,assam
948,hailakandi district,43026,66947503.9,4,2018,assam
949,barpeta district,225449,354675455.9,4,2018,assam
950,goalpara district,101776,171764620.4,4,2018,assam
951,biswanath district,52514,77750045.92,4,2018,assam
952,jorhat district,110193,174524079.1,4,2018,assam
953,tinsukia district,147896,296016100.5,1,2019,assam
954,lakhimpur district,84448,135217192.9,1,2019,assam
955,kamrup district,205094,325387078.1,1,2019,assam
956,kokrajhar district,60413,133213397.4,1,2019,assam
957,karbi anglong district,62301,127716945.7,1,2019,assam
958,sivasagar district,73524,126028482.9,1,2019,assam
959,dibrugarh district,180303,308520050.1,1,2019,assam
960,south salmara mancachar district,36980,56376266.78,1,2019,assam
961,nagaon district,265767,382986937,1,2019,assam
962,dhubri district,129363,168832530.5,1,2019,assam
963,golaghat district,87815,150699869.6,1,2019,assam
964,udalguri district,57339,103343677.3,1,2019,assam
965,majuli district,15485,17616797.7,1,2019,assam
966,sonitpur district,197716,409811805.5,1,2019,assam
967,hojai district,61983,111715019.7,1,2019,assam
968,marigaon district,162645,225891536.8,1,2019,assam
969,chirang district,32379,57539957.79,1,2019,assam
970,cachar district,206705,335675210.4,1,2019,assam
971,nalbari district,70290,94533334.09,1,2019,assam
972,west karbi anglong district,11141,12368112.99,1,2019,assam
973,dhemaji district,69519,134956449.7,1,2019,assam
974,karimganj district,76238,140750684.5,1,2019,assam
975,bongaigaon district,91061,138479281.4,1,2019,assam
976,dima hasao district,26119,51318304.48,1,2019,assam
977,baksa district,75377,147648364.4,1,2019,assam
978,charaideo district,49174,75457156.84,1,2019,assam
979,darrang district,76056,137391656.8,1,2019,assam
980,kamrup metropolitan district,1306775,2605380336,1,2019,assam
981,hailakandi district,51401,76319460.14,1,2019,assam
982,barpeta district,262834,416977891.5,1,2019,assam
983,goalpara district,113947,191744923.2,1,2019,assam
984,biswanath district,59752,91143579.39,1,2019,assam
985,jorhat district,125165,215041144.4,1,2019,assam
986,tinsukia district,148294,323303192.9,2,2019,assam
987,lakhimpur district,88545,154536738.9,2,2019,assam
988,kamrup district,176995,334724712.1,2,2019,assam
989,kokrajhar district,58445,136120566.5,2,2019,assam
990,karbi anglong district,62877,150114998,2,2019,assam
991,sivasagar district,74192,134981544.6,2,2019,assam
992,dibrugarh district,169357,356524668.6,2,2019,assam
993,south salmara mancachar district,32449,69876713.57,2,2019,assam
994,nagaon district,231423,422774561.4,2,2019,assam
995,dhubri district,101070,201203482.8,2,2019,assam
996,golaghat district,89403,157511569.8,2,2019,assam
997,udalguri district,51326,108912182.9,2,2019,assam
998,majuli district,13800,17825869.55,2,2019,assam
999,sonitpur district,192707,444337498.8,2,2019,assam
1000,hojai district,63598,125015617.4,2,2019,assam
1001,marigaon district,130459,235342996.6,2,2019,assam
1002,chirang district,31621,65747046.12,2,2019,assam
1003,cachar district,177976,335126276.2,2,2019,assam
1004,nalbari district,64729,108268162.2,2,2019,assam
1005,west karbi anglong district,10260,15373392.66,2,2019,assam
1006,dhemaji district,66560,150306788.8,2,2019,assam
1007,karimganj district,70635,144404980.6,2,2019,assam
1008,bongaigaon district,80689,155642822.4,2,2019,assam
1009,dima hasao district,28118,57300032.73,2,2019,assam
1010,baksa district,70162,150019543.8,2,2019,assam
1011,charaideo district,45010,85061629.87,2,2019,assam
1012,darrang district,70387,140869866.6,2,2019,assam
1013,kamrup metropolitan district,2488968,5089657877,2,2019,assam
1014,hailakandi district,47321,79845847.47,2,2019,assam
1015,barpeta district,228864,466786096.4,2,2019,assam
1016,goalpara district,97473,201643499,2,2019,assam
1017,biswanath district,61472,103930302.4,2,2019,assam
1018,jorhat district,129744,231878110.7,2,2019,assam
1019,tinsukia district,196245,357008533.6,3,2019,assam
1020,lakhimpur district,115808,182745177.3,3,2019,assam
1021,kamrup district,222439,383883901.2,3,2019,assam
1022,kokrajhar district,77004,153786698.2,3,2019,assam
1023,karbi anglong district,83280,173411321.7,3,2019,assam
1024,sivasagar district,101503,160505383.6,3,2019,assam
1025,dibrugarh district,230118,425077484.1,3,2019,assam
1026,south salmara mancachar district,32727,72591552.54,3,2019,assam
1027,nagaon district,258566,491551326.2,3,2019,assam
1028,dhubri district,115968,235503727.3,3,2019,assam
1029,golaghat district,121795,194779142.6,3,2019,assam
1030,udalguri district,69169,133441413.3,3,2019,assam
1031,majuli district,19170,22241164.41,3,2019,assam
1032,sonitpur district,257623,533288953,3,2019,assam
1033,hojai district,84120,154505233.5,3,2019,assam
1034,marigaon district,116364,242626706.4,3,2019,assam
1035,chirang district,45161,87808950.14,3,2019,assam
1036,cachar district,242781,426502976.8,3,2019,assam
1037,nalbari district,82814,133051985.2,3,2019,assam
1038,west karbi anglong district,14546,17754122.58,3,2019,assam
1039,dhemaji district,90986,171587706.6,3,2019,assam
1040,karimganj district,96450,167756855.4,3,2019,assam
1041,bongaigaon district,104703,184020776,3,2019,assam
1042,dima hasao district,41878,80649915.5,3,2019,assam
1043,baksa district,92868,175122110.8,3,2019,assam
1044,charaideo district,59490,103441007.1,3,2019,assam
1045,darrang district,90156,171891466.7,3,2019,assam
1046,kamrup metropolitan district,2188998,6080999088,3,2019,assam
1047,hailakandi district,62134,95753332.84,3,2019,assam
1048,barpeta district,262253,505242250.3,3,2019,assam
1049,goalpara district,119928,234306376.7,3,2019,assam
1050,biswanath district,78058,123277846.1,3,2019,assam
1051,jorhat district,167468,274329134.4,3,2019,assam
1052,tinsukia district,224113,423685126.9,4,2019,assam
1053,lakhimpur district,129734,211979144.7,4,2019,assam
1054,kamrup district,249708,461559258.8,4,2019,assam
1055,kokrajhar district,90371,198548447.3,4,2019,assam
1056,karbi anglong district,95122,214907046.1,4,2019,assam
1057,sivasagar district,112099,192010348.2,4,2019,assam
1058,dibrugarh district,255885,470389915.8,4,2019,assam
1059,south salmara mancachar district,39935,91996007.23,4,2019,assam
1060,nagaon district,287586,546184547.4,4,2019,assam
1061,dhubri district,134357,284612415.5,4,2019,assam
1062,golaghat district,138710,238009780.2,4,2019,assam
1063,udalguri district,77332,154704605.6,4,2019,assam
1064,majuli district,20488,26928995.95,4,2019,assam
1065,sonitpur district,298139,613461613.3,4,2019,assam
1066,hojai district,95246,175607662,4,2019,assam
1067,marigaon district,132919,263927905.9,4,2019,assam
1068,chirang district,51791,101022374.8,4,2019,assam
1069,cachar district,273506,482197783.2,4,2019,assam
1070,nalbari district,95723,156653435.6,4,2019,assam
1071,west karbi anglong district,17914,25460539.28,4,2019,assam
1072,dhemaji district,103033,197496702.4,4,2019,assam
1073,karimganj district,108697,194919405.2,4,2019,assam
1074,bongaigaon district,119397,235963764.7,4,2019,assam
1075,dima hasao district,45414,93463244.84,4,2019,assam
1076,baksa district,106632,221221950.7,4,2019,assam
1077,charaideo district,70323,125582119.3,4,2019,assam
1078,darrang district,98623,201143725.8,4,2019,assam
1079,kamrup metropolitan district,2510384,7206165642,4,2019,assam
1080,hailakandi district,67877,117286060.9,4,2019,assam
1081,barpeta district,295624,613479659.5,4,2019,assam
1082,goalpara district,139662,282003507.8,4,2019,assam
1083,biswanath district,88764,151710760.8,4,2019,assam
1084,jorhat district,185402,307700398,4,2019,assam
1085,tinsukia district,286640,541758827,1,2020,assam
1086,lakhimpur district,170709,275431087.2,1,2020,assam
1087,kamrup district,322830,605538834.9,1,2020,assam
1088,kokrajhar district,114668,248408355.2,1,2020,assam
1089,karbi anglong district,113535,217131796.1,1,2020,assam
1090,sivasagar district,145386,255427708.5,1,2020,assam
1091,dibrugarh district,317878,585327059.7,1,2020,assam
1092,south salmara mancachar district,53050,131605619.2,1,2020,assam
1093,nagaon district,360749,736229612.9,1,2020,assam
1094,dhubri district,171651,396380458.9,1,2020,assam
1095,golaghat district,179380,301335497.8,1,2020,assam
1096,udalguri district,102667,191387716.4,1,2020,assam
1097,majuli district,25164,35131725.05,1,2020,assam
1098,sonitpur district,383179,755509094.6,1,2020,assam
1099,hojai district,116561,234366183.7,1,2020,assam
1100,marigaon district,178906,365789442.4,1,2020,assam
1101,chirang district,69572,129457976.3,1,2020,assam
1102,cachar district,375774,659702346.2,1,2020,assam
1103,nalbari district,123597,204236899,1,2020,assam
1104,west karbi anglong district,24370,34424503.59,1,2020,assam
1105,dhemaji district,132751,261048437.2,1,2020,assam
1106,karimganj district,149784,300337283.1,1,2020,assam
1107,bongaigaon district,154338,308181647,1,2020,assam
1108,dima hasao district,57312,113253608.6,1,2020,assam
1109,baksa district,139164,286488075.1,1,2020,assam
1110,charaideo district,88911,166505285.4,1,2020,assam
1111,darrang district,130156,282448987.9,1,2020,assam
1112,kamrup metropolitan district,3338601,10080547554,1,2020,assam
1113,hailakandi district,94255,178759552.2,1,2020,assam
1114,barpeta district,367963,833078665.8,1,2020,assam
1115,goalpara district,178776,399940069.5,1,2020,assam
1116,biswanath district,108475,182185726.1,1,2020,assam
1117,jorhat district,232108,371072710.7,1,2020,assam
1118,tinsukia district,420620,618021383.2,2,2020,assam
1119,lakhimpur district,272571,350989858.7,2,2020,assam
1120,kamrup district,461735,696378364.1,2,2020,assam
1121,kokrajhar district,172597,308298837.3,2,2020,assam
1122,karbi anglong district,183647,292585692.4,2,2020,assam
1123,sivasagar district,220014,286719380.2,2,2020,assam
1124,dibrugarh district,447580,678491572.8,2,2020,assam
1125,south salmara mancachar district,83003,196672059.6,2,2020,assam
1126,nagaon district,521404,889592664.4,2,2020,assam
1127,dhubri district,279128,458359612.5,2,2020,assam
1128,golaghat district,290221,381486790,2,2020,assam
1129,udalguri district,166432,268857082.8,2,2020,assam
1130,majuli district,40396,51674787.73,2,2020,assam
1131,sonitpur district,510820,899403354.3,2,2020,assam
1132,hojai district,172987,285298432.1,2,2020,assam
1133,marigaon district,240281,429689787.6,2,2020,assam
1134,chirang district,112936,166769974.1,2,2020,assam
1135,cachar district,448258,671325302.8,2,2020,assam
1136,nalbari district,198498,254116361.1,2,2020,assam
1137,west karbi anglong district,42806,49256668.87,2,2020,assam
1138,dhemaji district,205941,328331122.3,2,2020,assam
1139,karimganj district,219675,348307355.6,2,2020,assam
1140,bongaigaon district,215359,339332331,2,2020,assam
1141,dima hasao district,90255,143371839.6,2,2020,assam
1142,baksa district,220877,363494158.5,2,2020,assam
1143,charaideo district,132136,187405994.2,2,2020,assam
1144,darrang district,191116,334935860.6,2,2020,assam
1145,kamrup metropolitan district,2543890,7190215278,2,2020,assam
1146,hailakandi district,145539,214091717.7,2,2020,assam
1147,barpeta district,519590,967512954.9,2,2020,assam
1148,goalpara district,261762,485118707.5,2,2020,assam
1149,biswanath district,166278,223505041.5,2,2020,assam
1150,jorhat district,306847,406689798,2,2020,assam
1151,tinsukia district,442335,839411510.9,3,2020,assam
1152,lakhimpur district,258450,431917438.4,3,2020,assam
1153,kamrup district,445726,878646586.9,3,2020,assam
1154,kokrajhar district,169456,354873433.7,3,2020,assam
1155,karbi anglong district,186352,377558923.8,3,2020,assam
1156,sivasagar district,213330,375381648.8,3,2020,assam
1157,dibrugarh district,526945,1106487216,3,2020,assam
1158,south salmara mancachar district,76074,203318061.9,3,2020,assam
1159,nagaon district,535675,1153926434,3,2020,assam
1160,dhubri district,265528,574593610.2,3,2020,assam
1161,golaghat district,278714,484885427.9,3,2020,assam
1162,udalguri district,154549,312073789.5,3,2020,assam
1163,majuli district,39125,56123804.82,3,2020,assam
1164,sonitpur district,540972,1164586119,3,2020,assam
1165,hojai district,175557,355628836,3,2020,assam
1166,marigaon district,230540,512119251.3,3,2020,assam
1167,chirang district,102868,192241344,3,2020,assam
1168,cachar district,487493,920279966.2,3,2020,assam
1169,nalbari district,175078,305820367.3,3,2020,assam
1170,west karbi anglong district,40408,63195580.48,3,2020,assam
1171,dhemaji district,206214,411442432.5,3,2020,assam
1172,karimganj district,249302,504923538.2,3,2020,assam
1173,bongaigaon district,227984,476147034,3,2020,assam
1174,dima hasao district,93676,180472116.3,3,2020,assam
1175,baksa district,208297,442621506.6,3,2020,assam
1176,charaideo district,130863,244390042,3,2020,assam
1177,darrang district,188334,455692195.9,3,2020,assam
1178,kamrup metropolitan district,4268591,13346088870,3,2020,assam
1179,hailakandi district,161126,294342674.9,3,2020,assam
1180,barpeta district,553783,1306355860,3,2020,assam
1181,goalpara district,277508,630486618.3,3,2020,assam
1182,biswanath district,171570,332570735,3,2020,assam
1183,jorhat district,315288,542788284.8,3,2020,assam
1184,tinsukia district,543941,1209737014,4,2020,assam
1185,lakhimpur district,304251,620709324.1,4,2020,assam
1186,kamrup district,557203,1271039293,4,2020,assam
1187,kokrajhar district,209653,522575460.3,4,2020,assam
1188,karbi anglong district,229991,548523247.6,4,2020,assam
1189,sivasagar district,259736,561002521.5,4,2020,assam
1190,dibrugarh district,631601,1479167067,4,2020,assam
1191,south salmara mancachar district,111015,338306352.6,4,2020,assam
1192,nagaon district,667880,1665021996,4,2020,assam
1193,dhubri district,337623,874322425.4,4,2020,assam
1194,golaghat district,337771,687756877.8,4,2020,assam
1195,udalguri district,181878,415302655.3,4,2020,assam
1196,majuli district,43480,69435583.79,4,2020,assam
1197,sonitpur district,676306,1560923096,4,2020,assam
1198,hojai district,224628,528926408.8,4,2020,assam
1199,marigaon district,277304,736327079.8,4,2020,assam
1200,chirang district,121011,281687589.6,4,2020,assam
1201,cachar district,623731,1434767202,4,2020,assam
1202,nalbari district,210966,464782209.2,4,2020,assam
1203,west karbi anglong district,44259,80617646.24,4,2020,assam
1204,dhemaji district,250452,567469583.1,4,2020,assam
1205,karimganj district,309172,754661918.9,4,2020,assam
1206,bongaigaon district,301859,724047412.8,4,2020,assam
1207,dima hasao district,110429,262165738.2,4,2020,assam
1208,baksa district,253333,644108232.3,4,2020,assam
1209,charaideo district,152117,356182476.8,4,2020,assam
1210,darrang district,239602,682167456.2,4,2020,assam
1211,kamrup metropolitan district,5300547,16105922899,4,2020,assam
1212,hailakandi district,189140,419018012.4,4,2020,assam
1213,barpeta district,724763,2053361856,4,2020,assam
1214,goalpara district,381733,1018165140,4,2020,assam
1215,biswanath district,215627,472733035.6,4,2020,assam
1216,jorhat district,400452,815676507.5,4,2020,assam
1217,tinsukia district,480161,1160430412,1,2021,assam
1218,lakhimpur district,278213,669614741.7,1,2021,assam
1219,kamrup district,557802,1450662972,1,2021,assam
1220,kokrajhar district,228889,627990382.8,1,2021,assam
1221,karbi anglong district,217934,608528765.1,1,2021,assam
1222,sivasagar district,242611,602350919,1,2021,assam
1223,dibrugarh district,680608,1710571110,1,2021,assam
1224,south salmara mancachar district,134708,477352228.4,1,2021,assam
1225,nagaon district,675634,2019926209,1,2021,assam
1226,dhubri district,362613,1035861131,1,2021,assam
1227,golaghat district,311238,749087184.8,1,2021,assam
1228,udalguri district,173233,451305008.4,1,2021,assam
1229,majuli district,34915,74357604.61,1,2021,assam
1230,sonitpur district,669242,1689369790,1,2021,assam
1231,hojai district,220269,591418708.8,1,2021,assam
1232,marigaon district,298011,918760115,1,2021,assam
1233,chirang district,127192,321319197.1,1,2021,assam
1234,cachar district,614703,1577581913,1,2021,assam
1235,nalbari district,197323,506378435.7,1,2021,assam
1236,west karbi anglong district,41137,84887268.51,1,2021,assam
1237,dhemaji district,231336,615209792.8,1,2021,assam
1238,karimganj district,304173,916185934.3,1,2021,assam
1239,bongaigaon district,321020,874996649.2,1,2021,assam
1240,dima hasao district,104846,283821933.2,1,2021,assam
1241,baksa district,260583,764921383.9,1,2021,assam
1242,charaideo district,138143,380869059.4,1,2021,assam
1243,darrang district,259665,757825643.4,1,2021,assam
1244,kamrup metropolitan district,9400818,24003716534,1,2021,assam
1245,hailakandi district,189886,515905421.9,1,2021,assam
1246,barpeta district,768249,2378951523,1,2021,assam
1247,goalpara district,400249,1203600745,1,2021,assam
1248,biswanath district,197774,446301042.8,1,2021,assam
1249,jorhat district,388882,856404785.4,1,2021,assam
1250,tinsukia district,606143,1318534293,2,2021,assam
1251,lakhimpur district,361975,751021666.7,2,2021,assam
1252,kamrup district,737877,1686926641,2,2021,assam
1253,kokrajhar district,291109,760467202.4,2,2021,assam
1254,karbi anglong district,275847,664132421.6,2,2021,assam
1255,sivasagar district,303100,635897961.5,2,2021,assam
1256,dibrugarh district,870918,1976153978,2,2021,assam
1257,south salmara mancachar district,213176,702484951.5,2,2021,assam
1258,nagaon district,928187,2446953429,2,2021,assam
1259,dhubri district,528440,1316708577,2,2021,assam
1260,golaghat district,382567,828266419.2,2,2021,assam
1261,udalguri district,229956,535712130.4,2,2021,assam
1262,majuli district,44407,85365999.51,2,2021,assam
1263,sonitpur district,848080,1929013771,2,2021,assam
