S.no,District,RegisteredUsers,Appopens,Quarter,Year,State
1867,jamui district,158308,3814872,3,2020,bihar
1868,sheikhpura district,60415,1213708,3,2020,bihar
1869,siwan district,367414,8688138,3,2020,bihar
1870,muzaffarpur district,617383,14800377,3,2020,bihar
1871,patna district,1625305,29504381,3,2020,bihar
1872,jehanabad district,115993,2663168,3,2020,bihar
1873,rohtas district,343921,7658066,3,2020,bihar
1874,begusarai district,313772,6181347,3,2020,bihar
1875,supaul district,196807,4727298,3,2020,bihar
1876,sitamarhi district,289710,6789210,3,2020,bihar
1877,saran district,424821,10052024,3,2020,bihar
1878,arwal district,64808,1650864,3,2020,bihar
1879,vaishali district,391002,9651945,3,2020,bihar
1880,pashchim champaran district,435319,11415211,3,2020,bihar
1881,gopalganj district,287552,6623470,3,2020,bihar
1882,lakhisarai district,100204,2261382,3,2020,bihar
1883,aurangabad district,256224,6482515,3,2020,bihar
1884,kaimur bhabua district,141417,3032445,3,2020,bihar
1885,araria district,228565,5183545,3,2020,bihar
1886,munger district,161775,3168349,3,2020,bihar
1887,katihar district,275202,6775572,3,2020,bihar
1888,khagaria district,149059,3536206,3,2020,bihar
1889,saharsa district,189601,4790580,3,2020,bihar
1890,bhagalpur district,390116,7283987,3,2020,bihar
1891,madhubani district,425154,11641778,3,2020,bihar
1892,kishanganj district,134304,3023513,3,2020,bihar
1893,gaya district,493207,11314373,3,2020,bihar
1894,samastipur district,424696,9730058,3,2020,bihar
1895,banka district,144279,2875136,3,2020,bihar
1896,purbi champaran district,570592,15404931,3,2020,bihar
1897,sheohar district,48874,1241754,3,2020,bihar
1898,bhojpur district,286157,5799268,3,2020,bihar
1899,madhepura district,193410,4831123,4,2020,bihar
1900,purnia district,349571,8504022,4,2020,bihar
1901,nalanda district,395006,9054158,4,2020,bihar
1902,buxar district,183347,3876799,4,2020,bihar
1903,darbhanga district,467317,12308124,4,2020,bihar
1904,nawada district,227399,5318433,4,2020,bihar
1905,jamui district,173812,4195684,4,2020,bihar
1906,sheikhpura district,66571,1332232,4,2020,bihar
1907,siwan district,408372,10923309,4,2020,bihar
1908,muzaffarpur district,673397,17639241,4,2020,bihar
1909,patna district,1752007,40115277,4,2020,bihar
1910,jehanabad district,126924,3102482,4,2020,bihar
1911,rohtas district,374596,8824562,4,2020,bihar
1912,begusarai district,345027,7532475,4,2020,bihar
1913,supaul district,216867,5215983,4,2020,bihar
1914,sitamarhi district,318599,7464589,4,2020,bihar
1915,saran district,467918,12501600,4,2020,bihar
1916,arwal district,71027,1828035,4,2020,bihar
1917,vaishali district,428039,11214166,4,2020,bihar
1918,pashchim champaran district,476717,12832884,4,2020,bihar
1919,gopalganj district,319052,8137685,4,2020,bihar
1920,lakhisarai district,109424,2609865,4,2020,bihar
1921,aurangabad district,280479,7478178,4,2020,bihar
1922,kaimur bhabua district,153839,3208221,4,2020,bihar
1923,araria district,254605,5957541,4,2020,bihar
1924,munger district,176482,3827248,4,2020,bihar
1925,katihar district,302845,7936851,4,2020,bihar
1926,khagaria district,164654,4281955,4,2020,bihar
1927,saharsa district,209020,5524808,4,2020,bihar
1928,bhagalpur district,428157,9023852,4,2020,bihar
1929,madhubani district,467849,13216505,4,2020,bihar
1930,kishanganj district,148938,3367157,4,2020,bihar
1931,gaya district,538319,13530398,4,2020,bihar
1932,samastipur district,466536,11579891,4,2020,bihar
1933,banka district,159221,3085551,4,2020,bihar
1934,purbi champaran district,627214,17365891,4,2020,bihar
1935,sheohar district,54013,1335271,4,2020,bihar
1936,bhojpur district,313263,6974554,4,2020,bihar
1937,madhepura district,210098,5733055,1,2021,bihar
1938,purnia district,378977,9959158,1,2021,bihar
1939,nalanda district,426419,9874574,1,2021,bihar
1940,buxar district,198162,4019635,1,2021,bihar
1941,darbhanga district,506381,13818215,1,2021,bihar
1942,nawada district,246611,5920314,1,2021,bihar
1943,jamui district,188350,4697229,1,2021,bihar
1944,sheikhpura district,72003,1414389,1,2021,bihar
1945,siwan district,444057,11680516,1,2021,bihar
1946,muzaffarpur district,728384,19666044,1,2021,bihar
1947,patna district,1881439,47764472,1,2021,bihar
1948,jehanabad district,137074,3267649,1,2021,bihar
1949,rohtas district,404078,9482678,1,2021,bihar
1950,begusarai district,373508,8444119,1,2021,bihar
1951,supaul district,235215,6222688,1,2021,bihar
1952,sitamarhi district,346031,8319923,1,2021,bihar
1953,saran district,507177,13238238,1,2021,bihar
1954,arwal district,76552,1906173,1,2021,bihar
1955,vaishali district,463655,12207307,1,2021,bihar
1956,pashchim champaran district,517219,14874230,1,2021,bihar
1957,gopalganj district,346929,8794900,1,2021,bihar
1958,lakhisarai district,118141,2781792,1,2021,bihar
1959,aurangabad district,303541,8312272,1,2021,bihar
1960,kaimur bhabua district,166313,3499932,1,2021,bihar
1961,araria district,276798,7141525,1,2021,bihar
1962,munger district,190196,4044233,1,2021,bihar
1963,katihar district,328252,9357558,1,2021,bihar
1964,khagaria district,178859,4898855,1,2021,bihar
1965,saharsa district,226755,6552751,1,2021,bihar
1966,bhagalpur district,462764,10257098,1,2021,bihar
1967,madhubani district,506293,14033961,1,2021,bihar
1968,kishanganj district,161635,4008897,1,2021,bihar
1969,gaya district,581376,15207460,1,2021,bihar
1970,samastipur district,505806,12818876,1,2021,bihar
1971,banka district,172220,3321178,1,2021,bihar
1972,purbi champaran district,681660,19530766,1,2021,bihar
1973,sheohar district,58746,1479515,1,2021,bihar
1974,bhojpur district,338614,7240433,1,2021,bihar
1975,madhepura district,225631,6098073,2,2021,bihar
1976,purnia district,407327,11452485,2,2021,bihar
1977,nalanda district,457143,9781814,2,2021,bihar
1978,buxar district,212916,4884682,2,2021,bihar
1979,darbhanga district,543496,13535399,2,2021,bihar
1980,nawada district,264993,7631616,2,2021,bihar
1981,jamui district,202627,7604897,2,2021,bihar
1982,sheikhpura district,77323,1765795,2,2021,bihar
1983,siwan district,476870,11554566,2,2021,bihar
1984,muzaffarpur district,781251,17402981,2,2021,bihar
1985,patna district,2010353,31047869,2,2021,bihar
1986,jehanabad district,147027,3636758,2,2021,bihar
1987,rohtas district,433856,11238005,2,2021,bihar
1988,begusarai district,400750,8533638,2,2021,bihar
1989,supaul district,252844,7689997,2,2021,bihar
1990,sitamarhi district,372211,9148788,2,2021,bihar
1991,saran district,544975,13189206,2,2021,bihar
1992,arwal district,82232,2240595,2,2021,bihar
1993,vaishali district,497933,11209569,2,2021,bihar
1994,pashchim champaran district,556408,17174254,2,2021,bihar
1995,gopalganj district,372691,9392913,2,2021,bihar
1996,lakhisarai district,126770,3347282,2,2021,bihar
1997,aurangabad district,326548,11429194,2,2021,bihar
1998,kaimur bhabua district,179008,5583876,2,2021,bihar
1999,araria district,297709,9439160,2,2021,bihar
2000,munger district,203824,4191352,2,2021,bihar
2001,katihar district,353303,10868200,2,2021,bihar
2002,khagaria district,192428,5916120,2,2021,bihar
2003,saharsa district,243572,7113137,2,2021,bihar
2004,bhagalpur district,496135,9593627,2,2021,bihar
2005,madhubani district,543493,15459649,2,2021,bihar
2006,kishanganj district,174209,5740581,2,2021,bihar
2007,gaya district,624010,17754295,2,2021,bihar
2008,samastipur district,543782,12581028,2,2021,bihar
2009,banka district,185539,6393589,2,2021,bihar
2010,purbi champaran district,733817,20204379,2,2021,bihar
2011,sheohar district,63289,1745845,2,2021,bihar
2012,bhojpur district,363841,7623446,2,2021,bihar
2013,madhepura district,244216,7179146,3,2021,bihar
2014,purnia district,440447,14245246,3,2021,bihar
2015,nalanda district,492998,10964467,3,2021,bihar
2016,buxar district,230171,5045192,3,2021,bihar
2017,darbhanga district,586251,15207842,3,2021,bihar
2018,nawada district,286524,8022119,3,2021,bihar
2019,jamui district,219468,8355425,3,2021,bihar
2020,sheikhpura district,83526,1880309,3,2021,bihar
2021,siwan district,514727,12380428,3,2021,bihar
2022,muzaffarpur district,842701,20014713,3,2021,bihar
2023,patna district,2156402,43378051,3,2021,bihar
2024,jehanabad district,158603,4051354,3,2021,bihar
2025,rohtas district,468953,12405207,3,2021,bihar
2026,begusarai district,432035,10042118,3,2021,bihar
2027,supaul district,273337,8972152,3,2021,bihar
2028,sitamarhi district,402641,9677557,3,2021,bihar
2029,saran district,588276,13924564,3,2021,bihar
2030,arwal district,88938,2204921,3,2021,bihar
2031,vaishali district,536933,12338903,3,2021,bihar
2032,pashchim champaran district,602251,19035099,3,2021,bihar
2033,gopalganj district,402719,10121489,3,2021,bihar
2034,lakhisarai district,136992,3739789,3,2021,bihar
2035,aurangabad district,353208,11946834,3,2021,bihar
2036,kaimur bhabua district,193984,5797640,3,2021,bihar
2037,araria district,322491,11108346,3,2021,bihar
2038,munger district,219691,4667697,3,2021,bihar
2039,katihar district,382183,12315161,3,2021,bihar
2040,khagaria district,208396,6552258,3,2021,bihar
2041,saharsa district,263226,8287766,3,2021,bihar
2042,bhagalpur district,534600,11361635,3,2021,bihar
2043,madhubani district,587337,16079472,3,2021,bihar
2044,kishanganj district,188986,6967804,3,2021,bihar
2045,gaya district,673356,20242649,3,2021,bihar
2046,samastipur district,586990,13912525,3,2021,bihar
2047,banka district,201221,6967924,3,2021,bihar
2048,purbi champaran district,794120,22500338,3,2021,bihar
2049,sheohar district,68582,1866229,3,2021,bihar
2050,bhojpur district,393291,8041010,3,2021,bihar
2051,madhepura district,262206,10402002,4,2021,bihar
2052,purnia district,472750,19907962,4,2021,bihar
2053,nalanda district,528281,15223943,4,2021,bihar
2054,buxar district,247005,7400896,4,2021,bihar
2055,darbhanga district,628529,25312106,4,2021,bihar
2056,nawada district,307666,10568023,4,2021,bihar
2057,jamui district,235801,9383204,4,2021,bihar
2058,sheikhpura district,89702,2540493,4,2021,bihar
2059,siwan district,552651,24348910,4,2021,bihar
2060,muzaffarpur district,903775,36050072,4,2021,bihar
2061,patna district,2303852,69546634,4,2021,bihar
2062,jehanabad district,170164,5595078,4,2021,bihar
2063,rohtas district,503828,17122315,4,2021,bihar
2064,begusarai district,463557,15751510,4,2021,bihar
2065,supaul district,293225,11472917,4,2021,bihar
2066,sitamarhi district,432514,15814002,4,2021,bihar
2067,saran district,631469,25767453,4,2021,bihar
2068,arwal district,95398,3126382,4,2021,bihar
2069,vaishali district,576156,22911298,4,2021,bihar
2070,pashchim champaran district,647450,28841290,4,2021,bihar
2071,gopalganj district,432546,18206196,4,2021,bihar
2072,lakhisarai district,146950,4888202,4,2021,bihar
2073,aurangabad district,379357,15198813,4,2021,bihar
2074,kaimur bhabua district,208596,6645159,4,2021,bihar
2075,araria district,346285,14269965,4,2021,bihar
2076,munger district,235246,7353987,4,2021,bihar
2077,katihar district,410498,18358609,4,2021,bihar
2078,khagaria district,224050,8252861,4,2021,bihar
2079,saharsa district,282456,11592957,4,2021,bihar
2080,bhagalpur district,573035,17844987,4,2021,bihar
2081,madhubani district,629986,26796754,4,2021,bihar
2082,kishanganj district,202863,8182123,4,2021,bihar
2083,gaya district,721905,27405704,4,2021,bihar
2084,samastipur district,630218,24109034,4,2021,bihar
2085,banka district,216263,6644455,4,2021,bihar
2086,purbi champaran district,853893,38615069,4,2021,bihar
2087,sheohar district,73732,3184802,4,2021,bihar
2088,bhojpur district,422123,12764671,4,2021,bihar
2089,madhepura district,280094,5631100,1,2022,bihar
2090,purnia district,504801,13394323,1,2022,bihar
2091,nalanda district,563049,6429261,1,2022,bihar
2092,buxar district,263663,4013615,1,2022,bihar
2093,darbhanga district,669850,8376582,1,2022,bihar
2094,nawada district,328635,7249380,1,2022,bihar
2095,jamui district,252094,12753539,1,2022,bihar
2096,sheikhpura district,95718,1962184,1,2022,bihar
2097,siwan district,589829,6109801,1,2022,bihar
2098,muzaffarpur district,962924,10684936,1,2022,bihar
2099,patna district,2443356,16131828,1,2022,bihar
2100,jehanabad district,181455,2562072,1,2022,bihar
2101,rohtas district,537701,10913805,1,2022,bihar
2102,begusarai district,493845,6652256,1,2022,bihar
2103,supaul district,313291,8832097,1,2022,bihar
2104,sitamarhi district,461979,6415453,1,2022,bihar
2105,saran district,673849,8000740,1,2022,bihar
2106,arwal district,101813,1461593,1,2022,bihar
2107,vaishali district,614159,5793084,1,2022,bihar
2108,pashchim champaran district,692182,17528649,1,2022,bihar
2109,gopalganj district,461794,5928935,1,2022,bihar
2110,lakhisarai district,156781,3371253,1,2022,bihar
2111,aurangabad district,405254,13452704,1,2022,bihar
2112,kaimur bhabua district,223072,6887444,1,2022,bihar
2113,araria district,370029,11889342,1,2022,bihar
2114,munger district,250357,3394719,1,2022,bihar
2115,katihar district,438584,12011467,1,2022,bihar
2116,khagaria district,239286,6257649,1,2022,bihar
2117,saharsa district,301372,6799845,1,2022,bihar
2118,bhagalpur district,610174,7091019,1,2022,bihar
2119,madhubani district,672303,11335634,1,2022,bihar
2120,kishanganj district,216915,8983771,1,2022,bihar
2121,gaya district,769265,19954254,1,2022,bihar
2122,samastipur district,672508,8256538,1,2022,bihar
2123,banka district,231228,10552229,1,2022,bihar
2124,purbi champaran district,912427,13051699,1,2022,bihar
2125,sheohar district,78832,1090835,1,2022,bihar
2126,bhojpur district,450190,5785964,1,2022,bihar
2127,madhepura district,296711,6048349,2,2022,bihar
2128,purnia district,534713,15748261,2,2022,bihar
2129,nalanda district,595960,7175402,2,2022,bihar
2130,buxar district,279169,4657169,2,2022,bihar
2131,darbhanga district,708828,8695015,2,2022,bihar
2132,nawada district,348128,9106459,2,2022,bihar
2133,jamui district,267040,15353736,2,2022,bihar
2134,sheikhpura district,101333,2534607,2,2022,bihar
2135,siwan district,625266,6287087,2,2022,bihar
2136,muzaffarpur district,1018560,10556362,2,2022,bihar
2137,patna district,2577123,15545639,2,2022,bihar
2138,jehanabad district,192101,3125099,2,2022,bihar
2139,rohtas district,569818,11734606,2,2022,bihar
2140,begusarai district,522522,7676043,2,2022,bihar
2141,supaul district,331990,9364630,2,2022,bihar
2142,sitamarhi district,489836,6910218,2,2022,bihar
2143,saran district,714109,7698357,2,2022,bihar
2144,arwal district,108033,1350947,2,2022,bihar
2145,vaishali district,650319,5971589,2,2022,bihar
2146,pashchim champaran district,734476,18284568,2,2022,bihar
2147,gopalganj district,489448,6461756,2,2022,bihar
2148,lakhisarai district,165876,3978621,2,2022,bihar
2149,aurangabad district,429493,14606052,2,2022,bihar
2150,kaimur bhabua district,236482,8031560,2,2022,bihar
2151,araria district,392076,13402058,2,2022,bihar
2152,munger district,264683,3322251,2,2022,bihar
2153,katihar district,464782,13185680,2,2022,bihar
2154,khagaria district,253856,7346984,2,2022,bihar
2155,saharsa district,319345,8124445,2,2022,bihar
2156,bhagalpur district,645479,8167048,2,2022,bihar
2157,madhubani district,711897,11801738,2,2022,bihar
2158,kishanganj district,229908,8860529,2,2022,bihar
2159,gaya district,814180,22949318,2,2022,bihar
2160,samastipur district,712626,9290605,2,2022,bihar
2161,banka district,245267,13631840,2,2022,bihar
2162,purbi champaran district,967838,13811656,2,2022,bihar
2163,sheohar district,83701,1159293,2,2022,bihar
2164,bhojpur district,476922,6632861,2,2022,bihar
2165,madhepura district,313960,5886305,3,2022,bihar
2166,purnia district,565515,17265639,3,2022,bihar
2167,nalanda district,629780,7753374,3,2022,bihar
2168,buxar district,295108,4551340,3,2022,bihar
2169,darbhanga district,749430,7569101,3,2022,bihar
2170,nawada district,368086,8056207,3,2022,bihar
2171,jamui district,282221,16122651,3,2022,bihar
2172,sheikhpura district,107101,2666151,3,2022,bihar
2173,siwan district,662330,4771874,3,2022,bihar
2174,muzaffarpur district,1077200,9753785,3,2022,bihar
2175,patna district,2716533,14287382,3,2022,bihar
2176,jehanabad district,203185,4506553,3,2022,bihar
2177,rohtas district,603031,11903038,3,2022,bihar
2178,begusarai district,552515,6457145,3,2022,bihar
2179,supaul district,351009,10366077,3,2022,bihar
2180,sitamarhi district,518667,5382757,3,2022,bihar
2181,saran district,756293,6774716,3,2022,bihar
2182,arwal district,114283,1140276,3,2022,bihar
2183,vaishali district,688248,5105824,3,2022,bihar
2184,pashchim champaran district,777977,17123986,3,2022,bihar
2185,gopalganj district,518406,4689571,3,2022,bihar
2186,lakhisarai district,175377,3236651,3,2022,bihar
2187,aurangabad district,454222,13130908,3,2022,bihar
2188,kaimur bhabua district,249931,8936663,3,2022,bihar
2189,araria district,414664,15218229,3,2022,bihar
2190,munger district,279807,2859668,3,2022,bihar
2191,katihar district,491899,13879403,3,2022,bihar
2192,khagaria district,268959,6906706,3,2022,bihar
2193,saharsa district,337915,8150025,3,2022,bihar
2194,bhagalpur district,682584,7649764,3,2022,bihar
2195,madhubani district,753153,10261898,3,2022,bihar
2196,kishanganj district,242898,10058569,3,2022,bihar
2197,gaya district,859903,21340459,3,2022,bihar
2198,samastipur district,754322,8237748,3,2022,bihar
2199,banka district,258927,16625291,3,2022,bihar
2200,purbi champaran district,1025772,11862222,3,2022,bihar
2201,sheohar district,88685,1331255,3,2022,bihar
2202,bhojpur district,504480,4988174,3,2022,bihar
2203,madhepura district,329562,13499708,4,2022,bihar
2204,purnia district,593232,26454795,4,2022,bihar
2205,nalanda district,662033,16909884,4,2022,bihar
2206,buxar district,309618,9814488,4,2022,bihar
2207,darbhanga district,787306,31930577,4,2022,bihar
2208,nawada district,386468,12902353,4,2022,bihar
2209,jamui district,295526,14333122,4,2022,bihar
2210,sheikhpura district,112165,3234164,4,2022,bihar
2211,siwan district,696350,32066312,4,2022,bihar
2212,muzaffarpur district,1132096,47917955,4,2022,bihar
2213,patna district,2854738,76878071,4,2022,bihar
2214,jehanabad district,213299,6789308,4,2022,bihar
2215,rohtas district,633339,21868732,4,2022,bihar
2216,begusarai district,580490,20776494,4,2022,bihar
2217,supaul district,368012,16629451,4,2022,bihar
2218,sitamarhi district,545122,21609733,4,2022,bihar
2219,saran district,795553,34582489,4,2022,bihar
2220,arwal district,120018,3801300,4,2022,bihar
2221,vaishali district,723338,30088669,4,2022,bihar
2222,pashchim champaran district,817644,36683844,4,2022,bihar
2223,gopalganj district,544789,24049716,4,2022,bihar
2224,lakhisarai district,184080,6181684,4,2022,bihar
2225,aurangabad district,476502,19689871,4,2022,bihar
2226,kaimur bhabua district,261997,10021920,4,2022,bihar
2227,araria district,434826,20875243,4,2022,bihar
2228,munger district,293955,8729881,4,2022,bihar
2229,katihar district,516972,26243092,4,2022,bihar
2230,khagaria district,282678,10119449,4,2022,bihar
2231,saharsa district,354933,14792840,4,2022,bihar
2232,bhagalpur district,717627,22401259,4,2022,bihar
2233,madhubani district,790218,32995768,4,2022,bihar
2234,kishanganj district,254250,13281628,4,2022,bihar
2235,gaya district,902593,33234272,4,2022,bihar
2236,samastipur district,793296,32459845,4,2022,bihar
2237,banka district,270790,10606068,4,2022,bihar
2238,purbi champaran district,1079466,50161341,4,2022,bihar
2239,sheohar district,93194,4924740,4,2022,bihar
2240,bhojpur district,530042,15287136,4,2022,bihar
2241,chandigarh district,86268,0,1,2018,chandigarh
2242,chandigarh district,115219,0,2,2018,chandigarh
2243,chandigarh district,143893,0,3,2018,chandigarh
2244,chandigarh district,177747,0,4,2018,chandigarh
2245,chandigarh district,209175,0,1,2019,chandigarh
2246,chandigarh district,240439,1220176,2,2019,chandigarh
2247,chandigarh district,267337,4625196,3,2019,chandigarh
2248,chandigarh district,289590,4960441,4,2019,chandigarh
2249,chandigarh district,312887,5201211,1,2020,chandigarh
2250,chandigarh district,336351,3451250,2,2020,chandigarh
2251,chandigarh district,362588,4888739,3,2020,chandigarh
2252,chandigarh district,391402,6477974,4,2020,chandigarh
2253,chandigarh district,419998,7919533,1,2021,chandigarh
2254,chandigarh district,448572,4733924,2,2021,chandigarh
2255,chandigarh district,480463,6378807,3,2021,chandigarh
2256,chandigarh district,512092,11603954,4,2021,chandigarh
2257,chandigarh district,541549,2321685,1,2022,chandigarh
2258,chandigarh district,569582,2285979,2,2022,chandigarh
2259,chandigarh district,598698,2173356,3,2022,chandigarh
2260,chandigarh district,627563,15308862,4,2022,chandigarh
2261,dhamtari district,15571,0,1,2018,chhattisgarh
2262,korba district,39075,0,1,2018,chhattisgarh
2263,surajpur district,12279,0,1,2018,chhattisgarh
2264,baloda bazar district,21747,0,1,2018,chhattisgarh
2265,sukma district,3205,0,1,2018,chhattisgarh
2266,raigarh district,51628,0,1,2018,chhattisgarh
2267,janjgir champa district,42297,0,1,2018,chhattisgarh
2268,jashpur district,12420,0,1,2018,chhattisgarh
2269,balod district,13500,0,1,2018,chhattisgarh
2270,kabirdham district,10892,0,1,2018,chhattisgarh
2271,surguja district,22001,0,1,2018,chhattisgarh
2272,dantewada district,4894,0,1,2018,chhattisgarh
2273,gariyaband district,8679,0,1,2018,chhattisgarh
2274,durg district,91516,0,1,2018,chhattisgarh
2275,rajnandgaon district,26295,0,1,2018,chhattisgarh
2276,raipur district,135308,0,1,2018,chhattisgarh
2277,narayanpur district,1768,0,1,2018,chhattisgarh
2278,kanker district,10256,0,1,2018,chhattisgarh
2279,korea district,15517,0,1,2018,chhattisgarh
2280,mungeli district,7387,0,1,2018,chhattisgarh
2281,bilaspur district,68704,0,1,2018,chhattisgarh
2282,balrampur district,9313,0,1,2018,chhattisgarh
2283,bijapur district,3606,0,1,2018,chhattisgarh
2284,bemetara district,12283,0,1,2018,chhattisgarh
2285,bastar district,13889,0,1,2018,chhattisgarh
2286,kondagaon district,5625,0,1,2018,chhattisgarh
2287,mahasamund district,19608,0,1,2018,chhattisgarh
2288,dhamtari district,22286,0,2,2018,chhattisgarh
2289,korba district,54105,0,2,2018,chhattisgarh
2290,surajpur district,17141,0,2,2018,chhattisgarh
2291,baloda bazar district,32314,0,2,2018,chhattisgarh
2292,sukma district,4793,0,2,2018,chhattisgarh
2293,raigarh district,70970,0,2,2018,chhattisgarh
2294,janjgir champa district,60185,0,2,2018,chhattisgarh
2295,jashpur district,17053,0,2,2018,chhattisgarh
2296,balod district,19941,0,2,2018,chhattisgarh
2297,kabirdham district,16461,0,2,2018,chhattisgarh
2298,surguja district,30374,0,2,2018,chhattisgarh
2299,dantewada district,7287,0,2,2018,chhattisgarh
2300,gariyaband district,12542,0,2,2018,chhattisgarh
2301,durg district,124515,0,2,2018,chhattisgarh
2302,rajnandgaon district,38120,0,2,2018,chhattisgarh
2303,raipur district,185747,0,2,2018,chhattisgarh
2304,narayanpur district,2522,0,2,2018,chhattisgarh
2305,kanker district,15229,0,2,2018,chhattisgarh
2306,korea district,20966,0,2,2018,chhattisgarh
2307,mungeli district,11084,0,2,2018,chhattisgarh
2308,bilaspur district,94888,0,2,2018,chhattisgarh
2309,balrampur district,12903,0,2,2018,chhattisgarh
2310,bijapur district,5454,0,2,2018,chhattisgarh
2311,bemetara district,17548,0,2,2018,chhattisgarh
2312,bastar district,19718,0,2,2018,chhattisgarh
2313,kondagaon district,8321,0,2,2018,chhattisgarh
2314,mahasamund district,28208,0,2,2018,chhattisgarh
2315,dhamtari district,29271,0,3,2018,chhattisgarh
2316,korba district,68746,0,3,2018,chhattisgarh
2317,surajpur district,23142,0,3,2018,chhattisgarh
2318,baloda bazar district,43335,0,3,2018,chhattisgarh
2319,sukma district,6694,0,3,2018,chhattisgarh
2320,raigarh district,89911,0,3,2018,chhattisgarh
2321,janjgir champa district,77834,0,3,2018,chhattisgarh
2322,jashpur district,22329,0,3,2018,chhattisgarh
2323,balod district,26663,0,3,2018,chhattisgarh
2324,kabirdham district,21958,0,3,2018,chhattisgarh
2325,surguja district,40025,0,3,2018,chhattisgarh
2326,dantewada district,10338,0,3,2018,chhattisgarh
2327,gariyaband district,16672,0,3,2018,chhattisgarh
2328,durg district,150753,0,3,2018,chhattisgarh
2329,rajnandgaon district,50271,0,3,2018,chhattisgarh
2330,raipur district,231146,0,3,2018,chhattisgarh
2331,narayanpur district,3509,0,3,2018,chhattisgarh
2332,kanker district,21379,0,3,2018,chhattisgarh
2333,korea district,27036,0,3,2018,chhattisgarh
2334,mungeli district,15251,0,3,2018,chhattisgarh
2335,bilaspur district,119415,0,3,2018,chhattisgarh
2336,balrampur district,17026,0,3,2018,chhattisgarh
2337,bijapur district,7785,0,3,2018,chhattisgarh
2338,bemetara district,23151,0,3,2018,chhattisgarh
2339,bastar district,25975,0,3,2018,chhattisgarh
2340,kondagaon district,11549,0,3,2018,chhattisgarh
2341,mahasamund district,36628,0,3,2018,chhattisgarh
2342,dhamtari district,37491,0,4,2018,chhattisgarh
2343,korba district,88680,0,4,2018,chhattisgarh
2344,surajpur district,32284,0,4,2018,chhattisgarh
2345,baloda bazar district,60270,0,4,2018,chhattisgarh
2346,sukma district,9189,0,4,2018,chhattisgarh
2347,raigarh district,116785,0,4,2018,chhattisgarh
2348,janjgir champa district,107156,0,4,2018,chhattisgarh
2349,jashpur district,29087,0,4,2018,chhattisgarh
2350,balod district,35319,0,4,2018,chhattisgarh
2351,kabirdham district,30021,0,4,2018,chhattisgarh
2352,surguja district,51776,0,4,2018,chhattisgarh
2353,dantewada district,14264,0,4,2018,chhattisgarh
2354,gariyaband district,21861,0,4,2018,chhattisgarh
2355,durg district,185746,0,4,2018,chhattisgarh
2356,rajnandgaon district,64828,0,4,2018,chhattisgarh
2357,raipur district,289198,0,4,2018,chhattisgarh
2358,narayanpur district,4918,0,4,2018,chhattisgarh
2359,kanker district,29452,0,4,2018,chhattisgarh
2360,korea district,35408,0,4,2018,chhattisgarh
2361,mungeli district,21506,0,4,2018,chhattisgarh
2362,bilaspur district,153972,0,4,2018,chhattisgarh
2363,balrampur district,22409,0,4,2018,chhattisgarh
2364,bijapur district,10547,0,4,2018,chhattisgarh
2365,bemetara district,30148,0,4,2018,chhattisgarh
2366,bastar district,34157,0,4,2018,chhattisgarh
2367,kondagaon district,15900,0,4,2018,chhattisgarh
2368,mahasamund district,47626,0,4,2018,chhattisgarh
2369,dhamtari district,44369,0,1,2019,chhattisgarh
2370,korba district,105570,0,1,2019,chhattisgarh
2371,surajpur district,39128,0,1,2019,chhattisgarh
2372,baloda bazar district,73454,0,1,2019,chhattisgarh
2373,sukma district,11464,0,1,2019,chhattisgarh
2374,raigarh district,139059,0,1,2019,chhattisgarh
2375,janjgir champa district,130114,0,1,2019,chhattisgarh
2376,jashpur district,35598,0,1,2019,chhattisgarh
2377,balod district,42804,0,1,2019,chhattisgarh
2378,kabirdham district,36729,0,1,2019,chhattisgarh
2379,surguja district,62300,0,1,2019,chhattisgarh
2380,dantewada district,17514,0,1,2019,chhattisgarh
2381,gariyaband district,25995,0,1,2019,chhattisgarh
2382,durg district,224058,0,1,2019,chhattisgarh
2383,rajnandgaon district,78320,0,1,2019,chhattisgarh
2384,raipur district,351495,0,1,2019,chhattisgarh
2385,narayanpur district,6161,0,1,2019,chhattisgarh
2386,kanker district,36502,0,1,2019,chhattisgarh
2387,korea district,41970,0,1,2019,chhattisgarh
2388,mungeli district,26640,0,1,2019,chhattisgarh
2389,bilaspur district,184636,0,1,2019,chhattisgarh
2390,balrampur district,27410,0,1,2019,chhattisgarh
2391,bijapur district,12986,0,1,2019,chhattisgarh
2392,bemetara district,36315,0,1,2019,chhattisgarh
2393,bastar district,41559,0,1,2019,chhattisgarh
2394,kondagaon district,19795,0,1,2019,chhattisgarh
2395,mahasamund district,56953,0,1,2019,chhattisgarh
2396,dhamtari district,51082,244565,2,2019,chhattisgarh
2397,korba district,119540,662066,2,2019,chhattisgarh
2398,surajpur district,44750,235751,2,2019,chhattisgarh
2399,baloda bazar district,84458,425931,2,2019,chhattisgarh
2400,sukma district,13471,98219,2,2019,chhattisgarh
2401,raigarh district,156178,865029,2,2019,chhattisgarh
2402,janjgir champa district,147327,1438732,2,2019,chhattisgarh
2403,jashpur district,41149,228722,2,2019,chhattisgarh
2404,balod district,49629,240564,2,2019,chhattisgarh
2405,kabirdham district,43027,215125,2,2019,chhattisgarh
2406,surguja district,71076,405600,2,2019,chhattisgarh
