S.no,Transacton_type,Total_Transactions_count,Total_Amount,Quarter,Year,State
866,Merchant payments,75620295,42933366743,2,2021,delhi
867,Peer-to-peer payments,68497718,2.23E+11,2,2021,delhi
868,Recharge & bill payments,25026678,15310096463,2,2021,delhi
869,Financial Services,158170,190019761.5,2,2021,delhi
870,Others,854403,472659189.3,2,2021,delhi
871,Merchant payments,115250887,64006915631,3,2021,delhi
872,Peer-to-peer payments,93292876,2.98E+11,3,2021,delhi
873,Recharge & bill payments,28427032,20934734872,3,2021,delhi
874,Financial Services,144460,220660990.2,3,2021,delhi
875,Others,1645353,690472449.1,3,2021,delhi
876,Merchant payments,149204611,88990516304,4,2021,delhi
877,Peer-to-peer payments,112380292,3.77E+11,4,2021,delhi
878,Recharge & bill payments,30127352,22290161823,4,2021,delhi
879,Financial Services,199280,287950130.2,4,2021,delhi
880,Others,771824,569713470.7,4,2021,delhi
881,Merchant payments,174454937,98212381476,1,2022,delhi
882,Peer-to-peer payments,125111881,4.15E+11,1,2022,delhi
883,Recharge & bill payments,29435981,22482865573,1,2022,delhi
884,Financial Services,195184,271039329.1,1,2022,delhi
885,Others,1801878,693588769.4,1,2022,delhi
886,Merchant payments,233412802,1.22E+11,2,2022,delhi
887,Peer-to-peer payments,143447534,4.81E+11,2,2022,delhi
888,Recharge & bill payments,32971294,26876059610,2,2022,delhi
889,Financial Services,160827,209425798.8,2,2022,delhi
890,Others,641727,426563425.7,2,2022,delhi
891,Merchant payments,276635347,1.34E+11,3,2022,delhi
892,Peer-to-peer payments,160580425,5.09E+11,3,2022,delhi
893,Recharge & bill payments,37572389,33177115465,3,2022,delhi
894,Financial Services,195218,265479580.4,3,2022,delhi
895,Others,608782,448676465.8,3,2022,delhi
896,Merchant payments,305621913,1.53E+11,4,2022,delhi
897,Peer-to-peer payments,171970100,5.59E+11,4,2022,delhi
898,Recharge & bill payments,36775874,31954251758,4,2022,delhi
899,Financial Services,228639,299454652.8,4,2022,delhi
900,Others,606931,477098950.6,4,2022,delhi
901,Recharge & bill payments,85991,18273814.16,1,2018,goa
902,Peer-to-peer payments,59651,268175048.1,1,2018,goa
903,Merchant payments,7880,11036031.74,1,2018,goa
904,Financial Services,1191,520105.6424,1,2018,goa
905,Others,6184,5851742.732,1,2018,goa
906,Recharge & bill payments,120943,30994284.17,2,2018,goa
907,Peer-to-peer payments,87878,419492232.5,2,2018,goa
908,Merchant payments,12456,20162855.71,2,2018,goa
909,Financial Services,1903,733429.4273,2,2018,goa
910,Others,6395,7221023.531,2,2018,goa
911,Recharge & bill payments,158797,40314972.94,3,2018,goa
912,Peer-to-peer payments,150297,639468418.1,3,2018,goa
913,Merchant payments,21587,26634198.18,3,2018,goa
914,Financial Services,1867,468171.3648,3,2018,goa
915,Others,6963,6281208.621,3,2018,goa
916,Peer-to-peer payments,246426,1021902315,4,2018,goa
917,Recharge & bill payments,212122,54832855.89,4,2018,goa
918,Merchant payments,45586,66666113.92,4,2018,goa
919,Financial Services,2523,723599.2328,4,2018,goa
920,Others,8098,8880194.431,4,2018,goa
921,Peer-to-peer payments,378848,1310759848,1,2019,goa
922,Recharge & bill payments,275277,78212835.04,1,2019,goa
923,Merchant payments,74527,75946974.41,1,2019,goa
924,Financial Services,2013,499592.0967,1,2019,goa
925,Others,8147,9904147.91,1,2019,goa
926,Peer-to-peer payments,373759,1391933791,2,2019,goa
927,Recharge & bill payments,278060,93218689.42,2,2019,goa
928,Merchant payments,104592,92873008.65,2,2019,goa
929,Financial Services,1211,515859.8077,2,2019,goa
930,Others,10819,13325754.76,2,2019,goa
931,Peer-to-peer payments,475178,1704668027,3,2019,goa
932,Recharge & bill payments,453806,157952855,3,2019,goa
933,Merchant payments,150578,123948570.6,3,2019,goa
934,Financial Services,1510,1282344.844,3,2019,goa
935,Others,11344,12515394.12,3,2019,goa
936,Peer-to-peer payments,698728,2484453030,4,2019,goa
937,Recharge & bill payments,552421,205602115.1,4,2019,goa
938,Merchant payments,250893,218404664.9,4,2019,goa
939,Financial Services,1497,649712.8451,4,2019,goa
940,Others,11733,14350825.33,4,2019,goa
941,Peer-to-peer payments,817198,2851686769,1,2020,goa
942,Recharge & bill payments,678079,244739382.2,1,2020,goa
943,Merchant payments,373110,298421548.1,1,2020,goa
944,Financial Services,1762,1816477.569,1,2020,goa
945,Others,11088,13707055.39,1,2020,goa
946,Recharge & bill payments,758617,241196540.9,2,2020,goa
947,Peer-to-peer payments,493326,1766723888,2,2020,goa
948,Merchant payments,221358,168591711.9,2,2020,goa
949,Financial Services,3081,3328361.318,2,2020,goa
950,Others,5710,3775927.611,2,2020,goa
951,Peer-to-peer payments,759351,2723430713,3,2020,goa
952,Recharge & bill payments,696770,280187505,3,2020,goa
953,Merchant payments,446880,353193881.5,3,2020,goa
954,Financial Services,4985,6418950.467,3,2020,goa
955,Others,7545,5112530.621,3,2020,goa
956,Peer-to-peer payments,1550251,5407626413,4,2020,goa
957,Merchant payments,1389834,1123844213,4,2020,goa
958,Recharge & bill payments,839199,345088772.4,4,2020,goa
959,Financial Services,7287,10386560.39,4,2020,goa
960,Others,14810,12846789.25,4,2020,goa
961,Peer-to-peer payments,2235456,7553384653,1,2021,goa
962,Merchant payments,2195509,1768358977,1,2021,goa
963,Recharge & bill payments,880682,410604192.7,1,2021,goa
964,Financial Services,8138,12207778.15,1,2021,goa
965,Others,11764,12687278.26,1,2021,goa
966,Merchant payments,1869384,1411529034,2,2021,goa
967,Peer-to-peer payments,1866837,6195032351,2,2021,goa
968,Recharge & bill payments,953219,383804809.4,2,2021,goa
969,Financial Services,8303,12371843.84,2,2021,goa
970,Others,12392,10115549.03,2,2021,goa
971,Merchant payments,2865625,2143135315,3,2021,goa
972,Peer-to-peer payments,2560305,7871092673,3,2021,goa
973,Recharge & bill payments,1017351,438838003.2,3,2021,goa
974,Financial Services,8337,12943224.07,3,2021,goa
975,Others,16145,12416377.6,3,2021,goa
976,Merchant payments,5474662,4384250603,4,2021,goa
977,Peer-to-peer payments,4408822,13618351953,4,2021,goa
978,Recharge & bill payments,1170180,585734312.4,4,2021,goa
979,Financial Services,11320,17101084.66,4,2021,goa
980,Others,23775,21819163.2,4,2021,goa
981,Merchant payments,6364271,4682000388,1,2022,goa
982,Peer-to-peer payments,4640380,14449830642,1,2022,goa
983,Recharge & bill payments,1177071,646403472.1,1,2022,goa
984,Financial Services,11677,17490493.19,1,2022,goa
985,Others,20699,20720407.6,1,2022,goa
986,Merchant payments,7812998,5736211014,2,2022,goa
987,Peer-to-peer payments,5097942,16372343177,2,2022,goa
988,Recharge & bill payments,1279377,738765635.3,2,2022,goa
989,Financial Services,10666,13192736.03,2,2022,goa
990,Others,15071,12525197.3,2,2022,goa
991,Merchant payments,7595135,5112175255,3,2022,goa
992,Peer-to-peer payments,4449008,13780955270,3,2022,goa
993,Recharge & bill payments,1122869,657115143.5,3,2022,goa
994,Financial Services,9992,12650738.42,3,2022,goa
995,Others,11683,11368868.04,3,2022,goa
996,Merchant payments,10319138,6739205748,4,2022,goa
997,Peer-to-peer payments,5652373,17421974715,4,2022,goa
998,Recharge & bill payments,1195865,734121700.6,4,2022,goa
999,Financial Services,12147,15705663.13,4,2022,goa
1000,Others,13151,13978544.18,4,2022,goa
1001,Recharge & bill payments,3691952,878929081,1,2018,gujarat
1002,Peer-to-peer payments,1738974,6318864760,1,2018,gujarat
1003,Merchant payments,145436,166036667.6,1,2018,gujarat
1004,Financial Services,122117,27986679.01,1,2018,gujarat
1005,Others,250296,186165067.6,1,2018,gujarat
1006,Recharge & bill payments,4643367,1571880396,2,2018,gujarat
1007,Peer-to-peer payments,2483231,10009680530,2,2018,gujarat
1008,Merchant payments,275503,356984574.1,2,2018,gujarat
1009,Financial Services,140704,38598263.23,2,2018,gujarat
1010,Others,202928,185541007.5,2,2018,gujarat
1011,Peer-to-peer payments,5287200,15272745138,3,2018,gujarat
1012,Recharge & bill payments,5117168,1938041689,3,2018,gujarat
1013,Merchant payments,573440,466209496.8,3,2018,gujarat
1014,Financial Services,136468,24930605.61,3,2018,gujarat
1015,Others,219873,164477497.1,3,2018,gujarat
1016,Peer-to-peer payments,6488202,21207285185,4,2018,gujarat
1017,Recharge & bill payments,6138404,2297332323,4,2018,gujarat
1018,Merchant payments,1656377,1088373316,4,2018,gujarat
1019,Financial Services,133915,30699273.17,4,2018,gujarat
1020,Others,316405,207297005.7,4,2018,gujarat
1021,Peer-to-peer payments,13465044,31231285551,1,2019,gujarat
1022,Recharge & bill payments,8595256,3104251733,1,2019,gujarat
1023,Merchant payments,2493340,1296376125,1,2019,gujarat
1024,Financial Services,114539,19581520.57,1,2019,gujarat
1025,Others,323272,204585378.8,1,2019,gujarat
1026,Peer-to-peer payments,12547493,41853661230,2,2019,gujarat
1027,Recharge & bill payments,10434449,4651874823,2,2019,gujarat
1028,Merchant payments,5486791,2526448415,2,2019,gujarat
1029,Financial Services,70502,17349813.39,2,2019,gujarat
1030,Others,442607,271280936.6,2,2019,gujarat
1031,Peer-to-peer payments,14529353,49206585462,3,2019,gujarat
1032,Merchant payments,11788077,4211116461,3,2019,gujarat
1033,Recharge & bill payments,11349625,5768100024,3,2019,gujarat
1034,Financial Services,78609,20507001.23,3,2019,gujarat
1035,Others,482985,256386015.2,3,2019,gujarat
1036,Peer-to-peer payments,19107911,64477452639,4,2019,gujarat
1037,Recharge & bill payments,12967713,6517891167,4,2019,gujarat
1038,Merchant payments,9964076,5480269120,4,2019,gujarat
1039,Financial Services,63498,20202767.26,4,2019,gujarat
1040,Others,444434,194846362.4,4,2019,gujarat
1041,Peer-to-peer payments,19068093,72393727235,1,2020,gujarat
1042,Recharge & bill payments,15648472,7197595157,1,2020,gujarat
1043,Merchant payments,12191478,7210758662,1,2020,gujarat
1044,Financial Services,50753,27460255.46,1,2020,gujarat
1045,Others,367621,165535312.4,1,2020,gujarat
1046,Recharge & bill payments,19971660,8322688557,2,2020,gujarat
1047,Peer-to-peer payments,17569398,64723140394,2,2020,gujarat
1048,Merchant payments,9645967,7196610932,2,2020,gujarat
1049,Financial Services,59617,53132341.31,2,2020,gujarat
1050,Others,173543,92274135.41,2,2020,gujarat
1051,Peer-to-peer payments,23130724,89142122337,3,2020,gujarat
1052,Merchant payments,18338969,12749796642,3,2020,gujarat
1053,Recharge & bill payments,17481357,9820654244,3,2020,gujarat
1054,Financial Services,92278,84723188.62,3,2020,gujarat
1055,Others,246851,124456073.2,3,2020,gujarat
1056,Peer-to-peer payments,29967258,1.17E+11,4,2020,gujarat
1057,Merchant payments,28430460,20844321157,4,2020,gujarat
1058,Recharge & bill payments,18943669,10441981826,4,2020,gujarat
1059,Financial Services,113371,120056733.9,4,2020,gujarat
1060,Others,373789,243470065.5,4,2020,gujarat
1061,Peer-to-peer payments,36427493,1.45E+11,1,2021,gujarat
1062,Merchant payments,35815382,26512643894,1,2021,gujarat
1063,Recharge & bill payments,22088838,11996115292,1,2021,gujarat
1064,Financial Services,126380,137612317.7,1,2021,gujarat
1065,Others,316472,235440836.3,1,2021,gujarat
1066,Merchant payments,42593432,33542305034,2,2021,gujarat
1067,Peer-to-peer payments,41642387,1.62E+11,2,2021,gujarat
1068,Recharge & bill payments,27127405,13750783182,2,2021,gujarat
1069,Financial Services,128647,136119996.7,2,2021,gujarat
1070,Others,349525,249278437.3,2,2021,gujarat
1071,Merchant payments,62934471,48197579737,3,2021,gujarat
1072,Peer-to-peer payments,56134212,2.08E+11,3,2021,gujarat
1073,Recharge & bill payments,29580901,15945997372,3,2021,gujarat
1074,Financial Services,125167,163304131.1,3,2021,gujarat
1075,Others,473656,304418273.2,3,2021,gujarat
1076,Merchant payments,84846502,68717933162,4,2021,gujarat
1077,Peer-to-peer payments,67301686,2.54E+11,4,2021,gujarat
1078,Recharge & bill payments,30072479,18739034342,4,2021,gujarat
1079,Financial Services,175393,209214620.7,4,2021,gujarat
1080,Others,591265,377657202.8,4,2021,gujarat
1081,Merchant payments,101648378,79563412222,1,2022,gujarat
1082,Peer-to-peer payments,77768758,2.92E+11,1,2022,gujarat
1083,Recharge & bill payments,30473298,20042066375,1,2022,gujarat
1084,Financial Services,160423,187077879.4,1,2022,gujarat
1085,Others,496289,316261089.4,1,2022,gujarat
1086,Merchant payments,131610193,95585623258,2,2022,gujarat
1087,Peer-to-peer payments,86423696,3.27E+11,2,2022,gujarat
1088,Recharge & bill payments,33424931,23844933238,2,2022,gujarat
1089,Financial Services,125180,142685436.4,2,2022,gujarat
1090,Others,468796,278978567.2,2,2022,gujarat
1091,Merchant payments,161264265,1.09E+11,3,2022,gujarat
1092,Peer-to-peer payments,103034790,3.59E+11,3,2022,gujarat
1093,Recharge & bill payments,38383683,28649040041,3,2022,gujarat
1094,Financial Services,152053,162173602.8,3,2022,gujarat
1095,Others,404941,269479241.1,3,2022,gujarat
1096,Merchant payments,186533503,1.26E+11,4,2022,gujarat
1097,Peer-to-peer payments,114868478,4.11E+11,4,2022,gujarat
1098,Recharge & bill payments,39167297,30789927499,4,2022,gujarat
1099,Financial Services,179101,194314203,4,2022,gujarat
1100,Others,407639,295484431.3,4,2022,gujarat
1101,Recharge & bill payments,2368002,535578755.1,1,2018,haryana
1102,Peer-to-peer payments,1607193,5814807511,1,2018,haryana
1103,Merchant payments,167816,173513595.4,1,2018,haryana
1104,Financial Services,128636,27501068.01,1,2018,haryana
1105,Others,209123,242110585.5,1,2018,haryana
1106,Recharge & bill payments,3054284,984897276.7,2,2018,haryana
1107,Peer-to-peer payments,2388953,9745924810,2,2018,haryana
1108,Merchant payments,369916,334118261.5,2,2018,haryana
1109,Financial Services,167570,38145882.44,2,2018,haryana
1110,Others,170208,217328211.7,2,2018,haryana
1111,Peer-to-peer payments,3753981,14429454356,3,2018,haryana
1112,Recharge & bill payments,3203386,1310467515,3,2018,haryana
1113,Merchant payments,1003057,427387637.9,3,2018,haryana
1114,Financial Services,100452,17323790.81,3,2018,haryana
1115,Others,201148,190505707.5,3,2018,haryana
1116,Peer-to-peer payments,5905032,22416919747,4,2018,haryana
1117,Recharge & bill payments,4116262,1671040704,4,2018,haryana
1118,Merchant payments,2413446,1013407380,4,2018,haryana
1119,Financial Services,120711,22252543.62,4,2018,haryana
1120,Others,394732,267255642.3,4,2018,haryana
1121,Peer-to-peer payments,12622225,30283578837,1,2019,haryana
1122,Recharge & bill payments,5576577,2202061875,1,2019,haryana
1123,Merchant payments,3361995,1292375556,1,2019,haryana
1124,Financial Services,101786,15201736,1,2019,haryana
1125,Others,473192,258437718.2,1,2019,haryana
1126,Peer-to-peer payments,10387562,37056084814,2,2019,haryana
1127,Recharge & bill payments,5902923,2838724048,2,2019,haryana
1128,Merchant payments,5738283,2292901816,2,2019,haryana
1129,Financial Services,57488,12080285.23,2,2019,haryana
1130,Others,655560,301748850.2,2,2019,haryana
1131,Peer-to-peer payments,11775288,43738290120,3,2019,haryana
1132,Merchant payments,9386779,3615636828,3,2019,haryana
1133,Recharge & bill payments,8289987,4817098565,3,2019,haryana
1134,Financial Services,61503,16715100.88,3,2019,haryana
1135,Others,829974,301378586,3,2019,haryana
1136,Peer-to-peer payments,15729819,58242027266,4,2019,haryana
1137,Merchant payments,11615667,5253780278,4,2019,haryana
1138,Recharge & bill payments,9648003,5637358526,4,2019,haryana
1139,Financial Services,41688,13756049.14,4,2019,haryana
1140,Others,790808,212797749.8,4,2019,haryana
1141,Peer-to-peer payments,17728235,68367245528,1,2020,haryana
1142,Merchant payments,14327020,7075196609,1,2020,haryana
1143,Recharge & bill payments,11346112,6331682017,1,2020,haryana
1144,Financial Services,34488,25266730.19,1,2020,haryana
1145,Others,600232,176823674.2,1,2020,haryana
1146,Peer-to-peer payments,17334369,66645492691,2,2020,haryana
1147,Recharge & bill payments,12740328,6547618492,2,2020,haryana
1148,Merchant payments,11527654,7393393678,2,2020,haryana
1149,Financial Services,48759,49209527.29,2,2020,haryana
1150,Others,129940,75550536.68,2,2020,haryana
1151,Peer-to-peer payments,24123449,88796356487,3,2020,haryana
1152,Merchant payments,20845136,12141560867,3,2020,haryana
1153,Recharge & bill payments,12716319,8452802893,3,2020,haryana
1154,Financial Services,66457,80854296.93,3,2020,haryana
1155,Others,186818,96375902.2,3,2020,haryana
1156,Merchant payments,34063692,21382305452,4,2020,haryana
1157,Peer-to-peer payments,33920789,1.29E+11,4,2020,haryana
1158,Recharge & bill payments,14682896,9675471301,4,2020,haryana
1159,Financial Services,84881,103265693.8,4,2020,haryana
1160,Others,419181,223528573.1,4,2020,haryana
1161,Merchant payments,39363588,23389100227,1,2021,haryana
1162,Peer-to-peer payments,36764622,1.36E+11,1,2021,haryana
1163,Recharge & bill payments,13680353,9260346909,1,2021,haryana
1164,Financial Services,79784,99672809.99,1,2021,haryana
1165,Others,364437,218544351.2,1,2021,haryana
1166,Merchant payments,45335533,29119078264,2,2021,haryana
1167,Peer-to-peer payments,44086559,1.61E+11,2,2021,haryana
1168,Recharge & bill payments,15861047,9839496895,2,2021,haryana
1169,Financial Services,85821,97238136.1,2,2021,haryana
1170,Others,311896,227855607,2,2021,haryana
1171,Merchant payments,66885213,40190922827,3,2021,haryana
1172,Peer-to-peer payments,55929958,1.89E+11,3,2021,haryana
1173,Recharge & bill payments,17087955,11681457469,3,2021,haryana
1174,Financial Services,77496,116592181.5,3,2021,haryana
1175,Others,479071,289441481.6,3,2021,haryana
1176,Merchant payments,84993587,56325102921,4,2021,haryana
1177,Peer-to-peer payments,66548306,2.39E+11,4,2021,haryana
1178,Recharge & bill payments,17632752,13817258646,4,2021,haryana
1179,Financial Services,105050,151421306.6,4,2021,haryana
1180,Others,407280,307822609.2,4,2021,haryana
1181,Merchant payments,98346418,62565728158,1,2022,haryana
1182,Peer-to-peer payments,74499889,2.64E+11,1,2022,haryana
1183,Recharge & bill payments,18494827,14765350796,1,2022,haryana
1184,Financial Services,107240,146586164.6,1,2022,haryana
1185,Others,540235,279136534.2,1,2022,haryana
1186,Merchant payments,130033573,76926347116,2,2022,haryana
1187,Peer-to-peer payments,84219451,3.01E+11,2,2022,haryana
1188,Recharge & bill payments,20011709,17457331653,2,2022,haryana
1189,Financial Services,89805,120610061.5,2,2022,haryana
1190,Others,345424,224949213.5,2,2022,haryana
1191,Merchant payments,151278013,87063736520,3,2022,haryana
1192,Peer-to-peer payments,95071203,3.19E+11,3,2022,haryana
1193,Recharge & bill payments,22592966,21247984019,3,2022,haryana
1194,Financial Services,111032,144937203.3,3,2022,haryana
1195,Others,308596,223267730.3,3,2022,haryana
1196,Merchant payments,169685872,1.03E+11,4,2022,haryana
1197,Peer-to-peer payments,102993798,3.65E+11,4,2022,haryana
1198,Recharge & bill payments,23545059,22666085170,4,2022,haryana
1199,Financial Services,118488,152488075,4,2022,haryana
1200,Others,305148,239722615.9,4,2022,haryana
1201,Recharge & bill payments,284371,49871175.83,1,2018,himachal-pradesh
1202,Peer-to-peer payments,154572,546222027.5,1,2018,himachal-pradesh
1203,Merchant payments,13241,13851230.83,1,2018,himachal-pradesh
1204,Financial Services,8955,2040522.725,1,2018,himachal-pradesh
1205,Others,20779,16752849.5,1,2018,himachal-pradesh
1206,Recharge & bill payments,385642,83714322.41,2,2018,himachal-pradesh
1207,Peer-to-peer payments,243436,1043702964,2,2018,himachal-pradesh
1208,Merchant payments,27851,31961300.88,2,2018,himachal-pradesh
1209,Financial Services,11330,4108919.308,2,2018,himachal-pradesh
1210,Others,19436,19681794.6,2,2018,himachal-pradesh
1211,Recharge & bill payments,457449,108456077.5,3,2018,himachal-pradesh
1212,Peer-to-peer payments,362755,1596570995,3,2018,himachal-pradesh
1213,Merchant payments,40675,31168155.22,3,2018,himachal-pradesh
1214,Financial Services,8182,1552275.054,3,2018,himachal-pradesh
1215,Others,17693,16293930.08,3,2018,himachal-pradesh
1216,Recharge & bill payments,598325,143031082.4,4,2018,himachal-pradesh
1217,Peer-to-peer payments,590518,2367228879,4,2018,himachal-pradesh
1218,Merchant payments,86963,87575811.8,4,2018,himachal-pradesh
1219,Financial Services,11834,2283052.791,4,2018,himachal-pradesh
1220,Others,20243,21180141.66,4,2018,himachal-pradesh
1221,Peer-to-peer payments,1178280,3066233588,1,2019,himachal-pradesh
1222,Recharge & bill payments,844570,209521987,1,2019,himachal-pradesh
1223,Merchant payments,115553,86624660.31,1,2019,himachal-pradesh
1224,Financial Services,9585,1424229.999,1,2019,himachal-pradesh
1225,Others,20730,17676977.72,1,2019,himachal-pradesh
1226,Peer-to-peer payments,1141873,4428007671,2,2019,himachal-pradesh
1227,Recharge & bill payments,1076793,279864580,2,2019,himachal-pradesh
1228,Merchant payments,248517,141088575.9,2,2019,himachal-pradesh
1229,Financial Services,5013,1453651.535,2,2019,himachal-pradesh
1230,Others,30110,25469495.27,2,2019,himachal-pradesh
1231,Recharge & bill payments,1212659,327570067,3,2019,himachal-pradesh
1232,Peer-to-peer payments,1181680,5039276845,3,2019,himachal-pradesh
1233,Merchant payments,312575,182746198.2,3,2019,himachal-pradesh
1234,Financial Services,3096,1775673.971,3,2019,himachal-pradesh
1235,Others,25170,20649996.7,3,2019,himachal-pradesh
1236,Peer-to-peer payments,1579582,6533855301,4,2019,himachal-pradesh
1237,Recharge & bill payments,1442940,402619115,4,2019,himachal-pradesh
1238,Merchant payments,467309,314965060.6,4,2019,himachal-pradesh
1239,Financial Services,4576,1769641.967,4,2019,himachal-pradesh
1240,Others,22239,17954418.58,4,2019,himachal-pradesh
1241,Recharge & bill payments,1815157,542356757,1,2020,himachal-pradesh
1242,Peer-to-peer payments,1594806,6431826925,1,2020,himachal-pradesh
1243,Merchant payments,711018,427497010.1,1,2020,himachal-pradesh
1244,Financial Services,4711,3172303.69,1,2020,himachal-pradesh
1245,Others,18788,14613755.24,1,2020,himachal-pradesh
1246,Recharge & bill payments,2558935,802231470.2,2,2020,himachal-pradesh
1247,Peer-to-peer payments,1544488,6738488219,2,2020,himachal-pradesh
1248,Merchant payments,570031,479165630.6,2,2020,himachal-pradesh
1249,Financial Services,7634,7359757.738,2,2020,himachal-pradesh
1250,Others,14642,9659685.393,2,2020,himachal-pradesh
1251,Recharge & bill payments,2416395,834567922.3,3,2020,himachal-pradesh
1252,Peer-to-peer payments,1954492,8806586537,3,2020,himachal-pradesh
1253,Merchant payments,1090445,851539467.3,3,2020,himachal-pradesh
1254,Financial Services,9543,11391079.29,3,2020,himachal-pradesh
1255,Others,19001,11969008.53,3,2020,himachal-pradesh
1256,Recharge & bill payments,2638030,936305777.7,4,2020,himachal-pradesh
1257,Peer-to-peer payments,2594659,11426268857,4,2020,himachal-pradesh
1258,Merchant payments,2001259,1589433440,4,2020,himachal-pradesh
1259,Financial Services,11353,15534252.22,4,2020,himachal-pradesh
1260,Others,27027,21510781.37,4,2020,himachal-pradesh
1261,Peer-to-peer payments,2845733,11358078844,1,2021,himachal-pradesh
1262,Recharge & bill payments,2547359,948929031.6,1,2021,himachal-pradesh
1263,Merchant payments,2186946,1778219851,1,2021,himachal-pradesh
1264,Financial Services,12561,16554205.5,1,2021,himachal-pradesh
1265,Others,21430,18764977.93,1,2021,himachal-pradesh
1266,Peer-to-peer payments,3340531,13035543547,2,2021,himachal-pradesh
1267,Recharge & bill payments,3216602,1045789842,2,2021,himachal-pradesh
1268,Merchant payments,2883209,2378084375,2,2021,himachal-pradesh
1269,Financial Services,14642,16428390.62,2,2021,himachal-pradesh
1270,Others,28918,19788385.41,2,2021,himachal-pradesh
1271,Peer-to-peer payments,4455153,16560383923,3,2021,himachal-pradesh
1272,Merchant payments,4198808,3524434950,3,2021,himachal-pradesh
1273,Recharge & bill payments,3359406,1178802737,3,2021,himachal-pradesh
1274,Financial Services,14497,22805774.6,3,2021,himachal-pradesh
1275,Others,36303,23834687.16,3,2021,himachal-pradesh
1276,Merchant payments,6062931,5228613147,4,2021,himachal-pradesh
1277,Peer-to-peer payments,5323397,19568394325,4,2021,himachal-pradesh
1278,Recharge & bill payments,3211367,1278824362,4,2021,himachal-pradesh
1279,Financial Services,18198,24809740.71,4,2021,himachal-pradesh
1280,Others,50971,35578926.75,4,2021,himachal-pradesh
1281,Merchant payments,7030946,5558905678,1,2022,himachal-pradesh
1282,Peer-to-peer payments,5718936,19473276901,1,2022,himachal-pradesh
1283,Recharge & bill payments,3271665,1429960687,1,2022,himachal-pradesh
1284,Financial Services,19314,24442138.15,1,2022,himachal-pradesh
1285,Others,47319,31862035.71,1,2022,himachal-pradesh
1286,Merchant payments,10591420,7697399368,2,2022,himachal-pradesh
1287,Peer-to-peer payments,7109948,24407668318,2,2022,himachal-pradesh
1288,Recharge & bill payments,3520538,1553155243,2,2022,himachal-pradesh
1289,Financial Services,16901,20627276.08,2,2022,himachal-pradesh
1290,Others,52564,30257752.66,2,2022,himachal-pradesh
1291,Merchant payments,12686960,8511266153,3,2022,himachal-pradesh
1292,Peer-to-peer payments,8330778,27039659316,3,2022,himachal-pradesh
1293,Recharge & bill payments,4083168,1780405740,3,2022,himachal-pradesh
1294,Financial Services,21293,22686931.87,3,2022,himachal-pradesh
1295,Others,42669,26764547.14,3,2022,himachal-pradesh
1296,Merchant payments,15297492,10280295884,4,2022,himachal-pradesh
1297,Peer-to-peer payments,9284824,29629346092,4,2022,himachal-pradesh
1298,Recharge & bill payments,3907023,1810538524,4,2022,himachal-pradesh
1299,Financial Services,24342,31775337.44,4,2022,himachal-pradesh
1300,Others,41455,27387394.98,4,2022,himachal-pradesh
1301,Recharge & bill payments,72550406,14472713559,1,2018,india
1302,Peer-to-peer payments,46982705,1.47E+11,1,2018,india
1303,Merchant payments,5368669,4656678915,1,2018,india
1304,Financial Services,3762820,815853105.1,1,2018,india
1305,Others,5761576,4643217301,1,2018,india
1306,Recharge & bill payments,92033715,24351225616,2,2018,india
1307,Peer-to-peer payments,74558816,2.65E+11,2,2018,india
1308,Merchant payments,10613941,9052859939,2,2018,india
1309,Financial Services,5186569,1176991419,2,2018,india
1310,Others,4973199,5027454207,2,2018,india
1311,Peer-to-peer payments,202021587,4.26E+11,3,2018,india
1312,Recharge & bill payments,102290514,31364311860,3,2018,india
1313,Merchant payments,25175938,12433150985,3,2018,india
1314,Financial Services,6218596,891447809.4,3,2018,india
1315,Others,5594554,4449556278,3,2018,india
1316,Peer-to-peer payments,200235002,5.95E+11,4,2018,india
1317,Recharge & bill payments,131917248,39578607327,4,2018,india
1318,Merchant payments,71498510,30497289208,4,2018,india
1319,Financial Services,5216165,868584631.6,4,2018,india
1320,Others,8246415,5802659774,4,2018,india
1321,Peer-to-peer payments,404841331,8.88E+11,1,2019,india
1322,Recharge & bill payments,180504739,55473071029,1,2019,india
1323,Merchant payments,110496541,40575915113,1,2019,india
1324,Financial Services,4627353,603852042,1,2019,india
1325,Others,8526177,5484252455,1,2019,india
1326,Peer-to-peer payments,384711008,1.20E+12,2,2019,india
1327,Recharge & bill payments,209898072,76865848587,2,2019,india
1328,Merchant payments,206467182,73415840740,2,2019,india
1329,Financial Services,2650384,545329308.1,2,2019,india
1330,Others,11656557,6969423864,2,2019,india
1331,Peer-to-peer payments,461911865,1.44E+12,3,2019,india
1332,Merchant payments,376320628,1.23E+11,3,2019,india
1333,Recharge & bill payments,240103872,1.02E+11,3,2019,india
1334,Financial Services,2870292,617120839.9,3,2019,india
1335,Others,13804992,6705143104,3,2019,india
1336,Peer-to-peer payments,703497002,1.96E+12,4,2019,india
1337,Merchant payments,456578271,1.74E+11,4,2019,india
1338,Recharge & bill payments,285310032,1.16E+11,4,2019,india
1339,Financial Services,2476840,551204225.4,4,2019,india
1340,Others,12583379,4811822510,4,2019,india
1341,Peer-to-peer payments,693998661,2.32E+12,1,2020,india
1342,Merchant payments,566355270,2.31E+11,1,2020,india
1343,Recharge & bill payments,351300991,1.40E+11,1,2020,india
